edge_index,horizon,label,over_rate,repair_config,training_seed,under_rate,violation_rate
7,2,candidate,0.0,sample_cosine,31431,1.0,1.0
8,2,candidate,0.0,sample_cosine,31431,0.9852941176470589,0.9852941176470589
9,2,candidate,0.0,sample_cosine,31431,1.0,1.0
10,2,candidate,0.0,sample_cosine,31431,0.0,0.0
11,2,candidate,0.9399509803921569,sample_cosine,31431,0.0,0.9399509803921569
12,2,candidate,0.5686274509803921,sample_cosine,31431,0.0,0.5686274509803921
13,2,candidate,0.0,sample_cosine,31431,1.0,1.0
14,2,candidate,0.0,sample_cosine,31431,0.9080882352941176,0.9080882352941176
15,2,candidate,0.0,sample_cosine,31431,0.6862745098039216,0.6862745098039216
16,2,candidate,0.0,sample_cosine,31431,0.8602941176470589,0.8602941176470589
17,2,candidate,0.0,sample_cosine,31431,1.0,1.0
18,2,candidate,0.0,sample_cosine,31431,0.0,0.0
19,2,candidate,0.0,sample_cosine,31431,0.9595588235294118,0.9595588235294118
20,2,candidate,0.0,sample_cosine,31431,0.025735294117647058,0.025735294117647058
21,2,candidate,0.0,sample_cosine,31431,0.8051470588235294,0.8051470588235294
22,2,candidate,0.0,sample_cosine,31431,1.0,1.0
0,3,candidate,0.0,sample_cosine,31431,0.9411764705882353,0.9411764705882353
1,3,candidate,0.0,sample_cosine,31431,0.012254901960784314,0.012254901960784314
2,3,candidate,0.0,sample_cosine,31431,1.0,1.0
3,3,candidate,0.0,sample_cosine,31431,0.0012254901960784314,0.0012254901960784314
4,3,candidate,0.09313725490196079,sample_cosine,31431,0.0,0.09313725490196079
5,3,candidate,0.0,sample_cosine,31431,0.6666666666666666,0.6666666666666666
6,3,candidate,0.0,sample_cosine,31431,1.0,1.0
7,3,candidate,0.0,sample_cosine,31431,1.0,1.0
8,3,candidate,0.0,sample_cosine,31431,1.0,1.0
9,3,candidate,0.0,sample_cosine,31431,0.20833333333333334,0.20833333333333334
10,3,candidate,0.0,sample_cosine,31431,0.9411764705882353,0.9411764705882353
11,3,candidate,0.0,sample_cosine,31431,0.9840686274509803,0.9840686274509803
12,3,candidate,0.0,sample_cosine,31431,1.0,1.0
13,3,candidate,0.0,sample_cosine,31431,1.0,1.0
14,3,candidate,0.0,sample_cosine,31431,0.16666666666666666,0.16666666666666666
15,3,candidate,0.0,sample_cosine,31431,0.0,0.0
16,3,candidate,0.0,sample_cosine,31431,1.0,1.0
17,3,candidate,0.0,sample_cosine,31431,1.0,1.0
18,3,candidate,0.0,sample_cosine,31431,0.0,0.0
19,3,candidate,0.0,sample_cosine,31431,0.25735294117647056,0.25735294117647056
20,3,candidate,0.0,sample_cosine,31431,0.6139705882352942,0.6139705882352942
21,3,candidate,0.0,sample_cosine,31431,0.9166666666666666,0.9166666666666666
22,3,candidate,0.0,sample_cosine,31431,0.0,0.0
0,0,candidate,0.0,sample_cosine,31432,0.3897058823529412,0.3897058823529412
1,0,candidate,0.0,sample_cosine,31432,0.0,0.0
2,0,candidate,0.0,sample_cosine,31432,0.0,0.0
3,0,candidate,0.0,sample_cosine,31432,0.5882352941176471,0.5882352941176471
4,0,candidate,0.0,sample_cosine,31432,0.37254901960784315,0.37254901960784315
5,0,candidate,0.0,sample_cosine,31432,0.5269607843137255,0.5269607843137255
6,0,candidate,0.0,sample_cosine,31432,0.0,0.0
7,0,candidate,0.0,sample_cosine,31432,0.25980392156862747,0.25980392156862747
8,0,candidate,0.0,sample_cosine,31432,1.0,1.0
9,0,candidate,0.0,sample_cosine,31432,1.0,1.0
10,0,candidate,0.0,sample_cosine,31432,1.0,1.0
11,0,candidate,0.0,sample_cosine,31432,1.0,1.0
12,0,candidate,0.0,sample_cosine,31432,1.0,1.0
13,0,candidate,0.0,sample_cosine,31432,1.0,1.0
14,0,candidate,0.0,sample_cosine,31432,0.9215686274509803,0.9215686274509803
15,0,candidate,0.0,sample_cosine,31432,1.0,1.0
16,0,candidate,0.00980392156862745,sample_cosine,31432,0.11764705882352941,0.12745098039215685
17,0,candidate,0.0,sample_cosine,31432,0.1801470588235294,0.1801470588235294
18,0,candidate,0.0,sample_cosine,31432,0.0,0.0
19,0,candidate,0.0,sample_cosine,31432,0.8676470588235294,0.8676470588235294
20,0,candidate,0.0,sample_cosine,31432,0.0196078431372549,0.0196078431372549
21,0,candidate,0.0,sample_cosine,31432,0.7058823529411765,0.7058823529411765
22,0,candidate,0.0,sample_cosine,31432,0.6605392156862745,0.6605392156862745
0,1,candidate,0.0,sample_cosine,31432,0.3333333333333333,0.3333333333333333
1,1,candidate,0.0,sample_cosine,31432,0.16544117647058823,0.16544117647058823
2,1,candidate,0.0,sample_cosine,31432,1.0,1.0
3,1,candidate,0.0,sample_cosine,31432,0.1409313725490196,0.1409313725490196
4,1,candidate,0.0,sample_cosine,31432,0.11764705882352941,0.11764705882352941
5,1,candidate,0.0,sample_cosine,31432,1.0,1.0
6,1,candidate,0.0,sample_cosine,31432,0.9399509803921569,0.9399509803921569
7,1,candidate,0.0,sample_cosine,31432,1.0,1.0
8,1,candidate,0.0,sample_cosine,31432,1.0,1.0
9,1,candidate,0.0,sample_cosine,31432,1.0,1.0
10,1,candidate,0.0,sample_cosine,31432,1.0,1.0
11,1,candidate,0.0,sample_cosine,31432,1.0,1.0
12,1,candidate,0.0,sample_cosine,31432,1.0,1.0
13,1,candidate,0.0,sample_cosine,31432,1.0,1.0
14,1,candidate,0.0,sample_cosine,31432,1.0,1.0
