comparison,left_track,right_track,step,feature,feature_family,legal_observation,feature_dim,accuracy,balanced_accuracy,roc_auc,tp,tn,fp,fn,paired_accuracy,paired_positive,paired_negative,paired_ties,paired_margin_mean,paired_margin_median,paired_sign_p,roc_auc_ci_low,roc_auc_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,paired_accuracy_ci_low,paired_accuracy_ci_high
primary_step_20,free_a,hidden_armed,20,xy_history_s5,observable_motion,True,144,0.50390625,0.50390625,0.515899658203125,62,67,61,66,0.84375,108,20,0,0.013695478191276509,0.019927971188475335,8.588622955874907e-16,0.513519287109375,0.523529052734375,0.5,0.51171875,0.78125,0.90625
primary_step_20,free_a,hidden_armed,20,position_proprio_history_s5,observable_motion,True,261,0.5,0.5,0.514556884765625,61,67,61,67,0.84375,108,20,0,0.013695478191276506,0.019927971188475335,8.588622955874907e-16,0.51263427734375,0.52166748046875,0.5,0.5,0.78125,0.90625
primary_step_20,free_a,hidden_armed,20,causal_fd_history_s5,observable_motion,True,405,0.93359375,0.93359375,0.976806640625,120,119,9,8,0.9921875,127,1,0,0.47397333933573427,0.48643457382953187,7.581938562803754e-37,0.95831298828125,0.9908447265625,0.90234375,0.9609375,0.9765625,1.0
primary_step_20,free_a,hidden_armed,20,model_x_v2_s5,proposed_model_input,True,303,0.5,0.5,0.514556884765625,61,67,61,67,0.84375,108,20,0,0.013695478191276506,0.019927971188475335,8.588622955874907e-16,0.5126953125,0.52166748046875,0.5,0.5,0.78125,0.90625
primary_step_20,free_a,hidden_armed,20,privileged_model_x_v1_s5,privileged_velocity,False,447,0.8828125,0.8828125,0.928680419921875,114,112,16,14,0.9140625,117,11,0,0.4244185174069628,0.44369747899159656,1.5756792637503377e-23,0.8923301696777344,0.9603584289550782,0.8359375,0.92578125,0.8671875,0.9609375
primary_step_20,free_a,hidden_armed,20,xy_history_s10,observable_motion,True,144,0.50390625,0.50390625,0.515716552734375,63,66,62,65,0.84375,108,20,0,0.013695478191276509,0.019927971188475335,8.588622955874907e-16,0.5135498046875,0.5230712890625,0.5,0.51171875,0.78125,0.90625
primary_step_20,free_a,hidden_armed,20,position_proprio_history_s10,observable_motion,True,261,0.5078125,0.5078125,0.514862060546875,64,66,62,64,0.84375,108,20,0,0.013695478191276507,0.019927971188475335,8.588622955874907e-16,0.5128173828125,0.52215576171875,0.5,0.51953125,0.7734375,0.90625
primary_step_20,free_a,hidden_armed,20,causal_fd_history_s10,observable_motion,True,405,0.9765625,0.9765625,0.9931640625,125,125,3,3,1.0,128,0,0,0.49996373549419765,0.505922368947579,5.877471754111438e-39,0.98114013671875,1.0,0.95703125,0.9921875,1.0,1.0
primary_step_20,free_a,hidden_armed,20,model_x_v2_s10,proposed_model_input,True,303,0.5078125,0.5078125,0.514862060546875,64,66,62,64,0.84375,108,20,0,0.013695478191276507,0.019927971188475335,8.588622955874907e-16,0.5126953125,0.52215576171875,0.5,0.51953125,0.78125,0.90625
primary_step_20,free_a,hidden_armed,20,privileged_model_x_v1_s10,privileged_velocity,False,447,0.859375,0.859375,0.921356201171875,111,109,19,17,0.9375,120,8,0,0.4142669567827131,0.4403761504601841,8.99210650658525e-27,0.8861083984375,0.9533096313476562,0.81640625,0.90234375,0.890625,0.9765625
