family,experiment,evaluation,source_id,gate_pass,row_count,z_mse,z_max_abs,ordered_rmse_p95,segment_relative_error_p95,chain_relative_error_p95
prior,balanced_frozen_prior,after_diffusion,9,True,1,4.297920958906845e-05,0.026687338948249817,0.000752386299522523,0.07615678233405244,0.006903660062086943
prior,balanced_frozen_prior,after_diffusion,10,False,1,0.00011576734608575439,0.01917407289147377,0.0015453697295988878,0.031266998611173345,0.00988946982617663
prior,balanced_frozen_prior,after_diffusion,11,True,1,3.212197179388873e-05,0.01544642448425293,0.0007894958922474548,0.051562686690967266,0.010737867593587679
prior,balanced_frozen_prior,after_diffusion,12,True,1,4.841298962813674e-05,0.021173954010009766,0.000816952982633968,0.022554820150405185,0.007196316067339654
prior,balanced_frozen_prior,after_diffusion,13,False,1,0.00013775959143145808,0.0771646499633789,0.0009502539105480952,0.0707303039816141,0.007697835032991843
prior,balanced_frozen_prior,after_diffusion,14,False,1,0.0008195470552815139,0.04844677448272705,0.0038359765931752048,0.0510011680849767,0.01977812973906186
prior,balanced_frozen_prior,after_diffusion,15,False,1,0.0019237326261261612,0.08623349666595459,0.005277543337188551,0.08945730592560143,0.03555746317360197
diffusion,balanced_joint_fresh_optimizer,true_condition,0,False,24,0.013887171924472511,1.9315705299377441,0.018604697648601197,0.3899073009014283,0.16135795238414408
diffusion,balanced_joint_fresh_optimizer,true_condition,1,True,24,0.0009848127429966046,0.14162343740463257,0.007517247857439016,0.20012961998925238,0.04026245481766507
diffusion,balanced_joint_fresh_optimizer,true_condition,2,False,24,0.017982528190417266,0.9403684139251709,0.029740858771591095,0.3599454818519133,0.25757435501940884
diffusion,balanced_joint_fresh_optimizer,true_condition,3,False,24,0.013822542016727076,0.6428793668746948,0.01679030294991979,0.41648659964881307,0.23556370154016854
diffusion,balanced_joint_fresh_optimizer,true_condition,4,False,24,0.007488015288595109,0.587038516998291,0.014055148448592411,0.2820730723570041,0.14891270038808366
diffusion,balanced_joint_fresh_optimizer,true_condition,5,False,24,0.009607766865082414,0.42489099502563477,0.011272542513792895,0.46069387793251654,0.11443797550032342
diffusion,balanced_joint_fresh_optimizer,true_condition,6,False,24,0.015108135753487293,0.6657383441925049,0.014462724455213833,0.7853440198444528,0.18374969098839464
diffusion,balanced_joint_fresh_optimizer,true_condition,7,False,24,0.0030492120552881715,0.2777881622314453,0.011555057023977598,0.2784395117897518,0.050985439622333546
diffusion,balanced_joint_fresh_optimizer,true_condition,8,False,24,0.018587700856595883,0.379146009683609,0.018467687577436172,0.5193831392137234,0.19616386177049108
diffusion,balanced_joint_fresh_optimizer,true_condition,9,False,24,0.005878367390584417,0.6214284896850586,0.017665479250528856,0.3423048335488532,0.21285043826034863
diffusion,balanced_joint_fresh_optimizer,true_condition,10,False,24,0.008977014996599728,0.7592760324478149,0.0338515883061668,0.2131610253909981,0.08365737284937826
diffusion,balanced_joint_fresh_optimizer,true_condition,11,False,24,0.002510741765374142,0.31263959407806396,0.007113917029571212,0.19354516269178973,0.082781015838298
diffusion,balanced_joint_fresh_optimizer,true_condition,12,False,24,0.004433666875540552,0.574899435043335,0.012785140080444842,0.19315841747036017,0.10644983288828788
diffusion,balanced_joint_fresh_optimizer,true_condition,13,False,24,0.0016911216776208477,0.4033316820859909,0.006007911807048116,0.38526745552995517,0.069460466280765
diffusion,balanced_joint_fresh_optimizer,true_condition,14,False,24,0.0033310886300884682,0.2681107744574547,0.016461727649931222,0.14304177641051172,0.049607511822718484
diffusion,balanced_joint_fresh_optimizer,true_condition,15,True,24,0.0019344138314589465,0.34154216945171356,0.006409802361014208,0.20625655301995055,0.046927695843111995
prior,balanced_joint_fresh_optimizer,after_warmup,0,False,1,0.003949417608697734,0.31778907775878906,0.0052936635831252335,0.12278118755065322,0.06502539138711377
prior,balanced_joint_fresh_optimizer,after_warmup,1,False,1,0.00021175971746716844,0.0392833948135376,0.001535200199181984,0.1016406066367622,0.02011184665286156
prior,balanced_joint_fresh_optimizer,after_warmup,2,True,1,7.170581321325487e-06,0.007907390594482422,0.00029066940564347017,0.027187068511805457,0.0023326107129719646
prior,balanced_joint_fresh_optimizer,after_warmup,3,False,1,0.00020986298257561164,0.03779792785644531,0.0016506461088082493,0.044212849183559895,0.008249905833411095
prior,balanced_joint_fresh_optimizer,after_warmup,4,False,1,0.001753172379993035,0.21965430676937103,0.003438549943321628,0.0715110614580932,0.03314923687255242
prior,balanced_joint_fresh_optimizer,after_warmup,5,False,1,0.00011697719513764091,0.019831418991088867,0.0013470229138569888,0.04812818262738845,0.014727583651787413
prior,balanced_joint_fresh_optimizer,after_warmup,6,False,1,0.00015815263344354043,0.03964042663574219,0.0011488023008594745,0.03191293270413477,0.013320203434439366
prior,balanced_joint_fresh_optimizer,after_warmup,7,True,1,4.92517774779767e-05,0.02004462480545044,0.00068333063225523,0.03179482289190758,0.008832892928191543
prior,balanced_joint_fresh_optimizer,after_warmup,8,False,1,0.00041088792428149777,0.04485177993774414,0.002627063541083051,0.09069008338386027,0.03079291468368588
prior,balanced_joint_fresh_optimizer,after_warmup,9,False,1,0.00014759095210956124,0.04736804962158203,0.0013532296985172309,0.09294499483713374,0.01645546964286385
prior,balanced_joint_fresh_optimizer,after_warmup,10,True,1,1.7995008251088865e-05,0.009179353713989258,0.0005050829691760217,0.0177790758320844,0.00563286046781447
prior,balanced_joint_fresh_optimizer,after_warmup,11,True,1,4.11006426704124e-05,0.018130779266357422,0.0007951043553917208,0.05011233006032363,0.008417590380544791
prior,balanced_joint_fresh_optimizer,after_warmup,12,True,1,1.748107563560616e-05,0.009637951850891113,0.00044826944315280097,0.023432418128524726,0.007368804444560685
prior,balanced_joint_fresh_optimizer,after_warmup,13,False,1,0.0006863725320314631,0.12715768814086914,0.0028155151366563336,0.17178548357970455,0.044288456784516914
prior,balanced_joint_fresh_optimizer,after_warmup,14,True,1,6.606632314714477e-05,0.025643348693847656,0.0008268495934564844,0.022526950147439846,0.004396655764525241
prior,balanced_joint_fresh_optimizer,after_warmup,15,False,1,0.0005052651531037025,0.08535045385360718,0.002039516293819009,0.06648752580144322,0.023959149119766637
prior,balanced_joint_fresh_optimizer,after_diffusion,0,False,1,0.7807713215280565,5.267139434814453,0.07687919385711314,0.7008217957285912,0.3588211489001522
prior,balanced_joint_fresh_optimizer,after_diffusion,1,False,1,0.028486253027922317,0.5169439315795898,0.027427468565580475,0.3746509505781177,0.032303968745449885
prior,balanced_joint_fresh_optimizer,after_diffusion,2,False,1,0.6590051409464458,2.3375945687294006,0.0964520450496131,0.8571109618976311,0.5085033385295024
prior,balanced_joint_fresh_optimizer,after_diffusion,3,False,1,0.6793290956210939,3.249509334564209,0.09697691734059599,0.7774334714110115,0.2875401552780681
prior,balanced_joint_fresh_optimizer,after_diffusion,4,False,1,0.43155259057939155,2.1732697039842606,0.05873945391593399,0.740984666599774,0.3868852925762351
prior,balanced_joint_fresh_optimizer,after_diffusion,5,False,1,0.07252230510433356,0.8336248397827148,0.02266924436730744,0.5906744645800086,0.1285785163250503
prior,balanced_joint_fresh_optimizer,after_diffusion,6,False,1,0.07066197945988217,0.7874355316162109,0.02658968999518504,0.7814998352503865,0.10831983370756428
prior,balanced_joint_fresh_optimizer,after_diffusion,7,False,1,0.03537743781165747,0.5243222713470459,0.022873084404961747,0.3807238204742179,0.07541987435451854
prior,balanced_joint_fresh_optimizer,after_diffusion,8,False,1,0.01729210363564111,0.33693814277648926,0.01552973893784904,0.5046150915247654,0.17021538081606205
prior,balanced_joint_fresh_optimizer,after_diffusion,9,False,1,0.4792678913362478,2.257845640182495,0.08342720904792944,1.1653034303727672,0.20849168306242535
prior,balanced_joint_fresh_optimizer,after_diffusion,10,False,1,0.8874569297212018,1.8727722764015198,0.14272289794118612,0.8744605682075943,0.2403058000036452
prior,balanced_joint_fresh_optimizer,after_diffusion,11,False,1,0.014418843700894407,0.33135831356048584,0.011761576899607381,0.26120778230387304,0.08669824354133604
prior,balanced_joint_fresh_optimizer,after_diffusion,12,False,1,0.3882253276573517,1.2355941087007523,0.09178653782585292,0.8802459514107711,0.1929031776860801
prior,balanced_joint_fresh_optimizer,after_diffusion,13,False,1,0.007497749730118816,0.22946500778198242,0.010575888388931282,0.3346448238201806,0.015886796509539315
prior,balanced_joint_fresh_optimizer,after_diffusion,14,False,1,0.059300081407897845,0.5642699003219604,0.018792909844073752,0.411988573096633,0.19769734711087322
